Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),THERMAL ZONE 1:Zone Mean Air Temperature [C](TimeStep) 
 01/25  05:00:00,20.4,20.403248195751269 
 01/25  05:01:00,20.4,20.403248195752516 
 01/25  05:02:00,20.4,20.40324819575372 
 01/25  05:03:00,20.4,20.403248195754867 
 01/25  05:04:00,20.4,20.403248195755958 
 01/25  05:05:00,20.4,20.403248195757 
 01/25  05:06:00,20.4,20.403248195757997 
 01/25  05:07:00,20.4,20.403248195758946 
 01/25  05:08:00,20.4,20.403248195759866 
 01/25  05:09:00,20.4,20.403248195760765 
 01/25  05:10:00,20.4,20.40324819576165 
 01/25  05:11:00,20.4,20.40324819576253 
 01/25  05:12:00,20.4,20.40324819576341 
 01/25  05:13:00,20.4,20.403248195764289 
 01/25  05:14:00,20.4,20.40324819576515 
 01/25  05:15:00,20.4,20.403248195765998 
 01/25  05:16:00,20.4,20.403248195766805 
 01/25  05:17:00,20.4,20.40324819576756 
 01/25  05:18:00,20.4,20.403248195768265 
 01/25  05:19:00,20.4,20.4032481957689 
 01/25  05:20:00,20.4,20.403248195769469 
 01/25  05:21:00,20.4,20.403248195769966 
 01/25  05:22:00,20.4,20.40324819577039 
 01/25  05:23:00,20.4,20.403248195770759 
 01/25  05:24:00,20.4,20.403248195771064 
 01/25  05:25:00,20.4,20.40324819577131 
 01/25  05:26:00,20.4,20.403248195771508 
 01/25  05:27:00,20.4,20.40324819577166 
 01/25  05:28:00,20.4,20.403248195771778 
 01/25  05:29:00,20.4,20.403248195771864 
 01/25  05:30:00,20.4,20.403248195771913 
 01/25  05:31:00,20.4,20.403248195771938 
 01/25  05:32:00,20.4,20.403248195771928 
 01/25  05:33:00,20.4,20.403248195771885 
 01/25  05:34:00,20.4,20.403248195771796 
 01/25  05:35:00,20.4,20.403248195771658 
 01/25  05:36:00,20.4,20.40324819577148 
 01/25  05:37:00,20.4,20.403248195771263 
 01/25  05:38:00,20.4,20.40324819577101 
 01/25  05:39:00,20.4,20.403248195770723 
 01/25  05:40:00,20.4,20.403248195770418 
 01/25  05:41:00,20.4,20.403248195770094 
 01/25  05:42:00,20.4,20.403248195769768 
 01/25  05:43:00,20.4,20.40324819576944 
 01/25  05:44:00,20.4,20.403248195769124 
 01/25  05:45:00,20.4,20.403248195768826 
 01/25  05:46:00,20.4,20.403248195768545 
